"id","extralabel","name","latitude","longitude","country"
"BE1217","TrainTechnicalServices","Lijn 4-Stopmerkborden 249x(NL)","51.477972","4.730666","Belgium"
"BE1682","Switch","Lijn 10-Rooster C/D","51.241808","4.215357","Belgium"
"BE1696","Switch","Lijn 10-Rooster G/H","51.243169","4.235729","Belgium"
"BE1818","Switch","Lijn 10-Seinen KL/LL","51.262359","4.26978","Belgium"
"BE1902","Switch","Lijn 50C-Seinen BY135/AY135","50.847839","4.187972","Belgium"
"BE1903","Switch","Lijn 50C-Seinen BY82/AY82","50.825287","4.239034","Belgium"
"BE2012","TrainTechnicalServices","Lijn 207-Seinen AWL207","51.168042","4.826767","Belgium"
"BE2130","Switch","Lijn 50A-Seinen BX82/A84","50.82616","4.236924","Belgium"
"BE2131","Switch","Lijn 50A-Seinen B135/A148","50.856583","4.168618","Belgium"
"BE2132","Switch","Lijn 50A-Seinen 292","50.927519","3.983669","Belgium"
"BE2133","Switch","Lijn 50A-Seinen 342","50.955366","3.897682","Belgium"
"BE2134","Switch","Lijn 50A-Seinen 394","50.970733","3.854077","Belgium"
"BE2135","Switch","Lijn 50A-Seinen 467","51.008208","3.773216","Belgium"
"BE2136","Switch","Lijn 50A-Seinen 203","50.88814","4.096512","Belgium"
"BEAET","SmallStation","Antwerpen-W.H.-A.E.T.","51.269438","4.205017","Belgium"
"BEAIG","Switch","Aigremont-Block 8.7","50.587809","5.425317","Belgium"
"BEALSKA","SmallStation","Antwerpen-D.S.-Alaska","51.250057","4.37464","Belgium"
"BEAMZD","SmallStation","Antwerpen-D.S.-Amerika-Zuid","51.243019","4.393759","Belgium"
"BEAND","PassengerStop","Antwerpen-Noorderdokken","51.261653","4.42786","Belgium"
"BEANDL","PassengerStop","Anderlecht | Anderlecht","50.817899","4.291845","Belgium"
"BEANGOL","SmallStation","Antwerpen-D.S.-Angola","51.272332","4.365991","Belgium"
"BEANS","Station","Ans","50.661214","5.509703","Belgium"
"BEANSPL","Switch","Ans-Plans","50.655409","5.529738","Belgium"
"BEARC","PassengerStop","Archennes","50.754337","4.662366","Belgium"
"BEATH","Station","Ath","50.6271","3.776406","Belgium"
"BEAYE","PassengerStop","Aye","50.224872","5.300689","Belgium"
"BEBA824","SmallStation","Braine-Alliance-CDS824","50.663889","4.372611","Belgium"
"BEBAM","PassengerStop","Bambrugge","50.913903","3.935661","Belgium"
"BEBASF","SmallStation","Antwerpen-D.S.-BASF","51.372865","4.272676","Belgium"
"BEBEEZ","Switch","Beez","50.47167","4.92499","Belgium"
"BEBEI","PassengerStop","Beignée","50.333239","4.406797","Belgium"
"BEBELBA","SmallStation","Antwerpen-D.S.-Belgische Basis","51.261965","4.40252","Belgium"
"BEBERDR","SmallStation","Antwerpen-D.S.-Berendrecht","51.318003","4.335301","Belgium"
"BEBGWV","PassengerStop","Basse-Wavre","50.724184","4.621178","Belgium"
"BEBLE","PassengerStop","Bleret","50.685161","5.28599","Belgium"
"BEBOKBH","Switch","Boksbergheide","50.964562","5.458209","Belgium"
"BEBOL","PassengerStop","Boondael | Boondaal","50.801975","4.393523","Belgium"
"BEBOR","PassengerStop","Bordet | Bordet","50.877782","4.409992","Belgium"
"BEBOTZ","Switch","Botzelaer","50.747251","6.010401","Belgium"
"BEBPEL","SmallStation","Zeebrugge-Bundel Pelikaan","51.293468","3.227731","Belgium"
"BEBRAM","SmallStation","Zeebrugge-Bundel Ramskapelle","51.30867","3.244147","Belgium"
"BEBUDA","PassengerStop","Buda","50.908281","4.417053","Belgium"
"BEBUZET","Switch","Buzet","50.555216","4.357379","Belgium"
"BEBVRST","Switch","Beverst","50.881084","5.50654","Belgium"
"BEBZWDM","SmallStation","Zeebrugge-Bundel Zwankendamme","51.306111","3.191463","Belgium"
"BECAD","PassengerStop","Chapelle-Dieu","50.557902","4.698662","Belgium"
"BECHAP","PassengerStop","Chapois","50.262372","5.124278","Belgium"
"BECHAS","PassengerStop","Château-de-Seilles","50.49721","5.081753","Belgium"
"BECHE","SmallStation","Chertal","50.685447","5.656972","Belgium"
"BECND","SmallStation","Antwerpen-W.H.-B.Canada","51.245617","4.331282","Belgium"
"BECOMBI","SmallStation","Antwerpen-D.S.-Combinant","51.371613","4.288112","Belgium"
"BECOO","PassengerStop","Coo","50.391311","5.880883","Belgium"
"BECRQLN","Switch","Criquelion-Faisceau","50.459516","3.837335","Belgium"
"BEDARSE","SmallStation","Gent-Zeehaven-Darsen","51.084356","3.744594","Belgium"
"BEDBIST","Switch","De Bist","51.146339","4.600142","Belgium"
"BEDSPA1","SmallStation","Antwerpen-Noord-Doodsporen A1","51.290064","4.403804","Belgium"
"BEDSTIB","Switch","Racc.Delta-STIB | Verb.Delta-MIVB","50.818197","4.403542","Belgium"
"BEFAD","PassengerStop","Schoonaarde","51.003116","4.011276","Belgium"
"BEFAK","SmallStation","Alken","50.886419","5.29173","Belgium"
"BEFAN","SmallStation","Anzegem","50.826208","3.495469","Belgium"
"BEFAO","PassengerStop","Aiseau","50.429545","4.584378","Belgium"
"BEFAP","PassengerStop","Papignies","50.687817","3.823797","Belgium"
"BEFAR","PassengerStop","Aarsele","50.984458","3.418361","Belgium"
"BEFARWE","SmallStation","Antwerpen-D.S.-Far-West","51.256088","4.417441","Belgium"
"BEFAT","PassengerStop","Haacht","50.966238","4.613314","Belgium"
"BEFATWS","SmallStation","Haacht-Wijkspoor","50.964298","4.621733","Belgium"
"BEFAZA","Switch","Salzinnes-A.C.","50.466045","4.839569","Belgium"
"BEFBA","Station","Braine-Alliance","50.669416","4.373397","Belgium"
"BEFBAC","Switch","Braine-Alliance-Gril C","50.664822","4.372629","Belgium"
"BEFBC","Station","Braine-le-Comte","50.605075","4.137658","Belgium"
"BEFBCK","PassengerStop","Bruxelles-Chapelle | Brussel-Kapellekerk","50.841131","4.347869","Belgium"
"BEFBCL","Station","Bruxelles-Central | Brussel-Centraal","50.845175","4.357131","Belgium"
"BEFBCM","SmallStation","Cureghem-Cul de Sac | Kuregem-Doodspoor","50.83406","4.32118","Belgium"
"BEFBCO","PassengerStop","Bruxelles-Congrès | Brussel-Congres","50.851671","4.362634","Belgium"
"BEFBD","Station","Braine-l'Alleud","50.684778","4.375525","Belgium"
"BEFBG","SmallStation","Brugelette","50.594131","3.85305","Belgium"
"BEFBK","Station","Blankenberge","51.312431","3.133862","Belgium"
"BEFBKI","Switch","Bruxelles-Petite-Ile | Brussel-Klein-Eiland","50.823612","4.318709","Belgium"
"BEFBKIC","TrainTechnicalServices","Bruxelles-Petite-Ile-Carwash | Brussel-Klein-Eiland-Carwash","50.822995","4.318613","Belgium"
"BEFBKIF","SmallStation","Bruxelles-Petite-Ile-Faisc.F | Brussel-Klein-Eiland-Bundel F","50.828128","4.321945","Belgium"
"BEFBL","PassengerStop","Bockstael | Bockstael","50.879428","4.348507","Belgium"
"BEFBMA","TrainTechnicalServices","Bruxelles-Midi-A.T.-TGV | Brussel-Zuid-T.W.-HST","50.817486","4.314205","Belgium"
"BEFBMZ","Station","Bruxelles-Midi | Brussel-Zuid","50.836782","4.336922","Belgium"
"BEFBN","Station","Bruxelles-Nord | Brussel-Noord","50.859658","4.360854","Belgium"
"BEFBNL","Station","Brussels Airport - Zaventem","50.896821","4.48549","Belgium"
"BEFBOW","SmallStation","Bruxelles-Ouest | Brussel-West","50.851898","4.322409","Belgium"
"BEFBR","PassengerStop","Beveren(Waas)","51.20845","4.26052","Belgium"
"BEFBRG","PassengerStop","Bierges-Walibi","50.707772","4.594753","Belgium"
"BEFBSG","PassengerStop","Berchem-Sainte-Agathe | Sint-Agatha-Berchem","50.872831","4.290961","Belgium"
"BEFBSM","Station","Bruxelles-Schuman | Brussel-Schuman","50.842851","4.380022","Belgium"
"BEFBX","Station","Bressoux","50.644473","5.612496","Belgium"
"BEFC","PassengerStop","Schelle","51.125422","4.340258","Belgium"
"BEFCA","PassengerStop","Callenelle","50.527192","3.526182","Belgium"
"BEFCB","Station","Schellebelle","51.003153","3.921372","Belgium"
"BEFCF","PassengerStop","Chaudfontaine","50.586944","5.644167","Belgium"
"BEFCH","SmallStation","Chênée","50.608327","5.61484","Belgium"
"BEFCL","Station","Châtelet","50.410152","4.5214","Belgium"
"BEFCLC","SmallStation","Châtelet-Faisceau C","50.419421","4.534882","Belgium"
"BEFCLCW","TrainTechnicalServices","Châtelet-Carwash","50.415635","4.527471","Belgium"
"BEFCLF","SmallStation","Châtelet-Formation","50.419556","4.530827","Belgium"
"BEFCLGE","Switch","Châtelet-Gril Est","50.417393","4.530082","Belgium"
"BEFCLGO","Switch","Châtelet-Gril Ouest","50.407471","4.516345","Belgium"
"BEFCLGS","TrainTechnicalServices","Châtelet-Gasoil","50.411517","4.522054","Belgium"
"BEFCR","Station","Charleroi-Central","50.404393","4.438504","Belgium"
"BEFCRA","SmallStation","Charleroi-Faisceau A","50.406172","4.429839","Belgium"
"BEFCRDP","Switch","Charleroi-Dry Port","50.399478","4.494877","Belgium"
"BEFCRO","Station","Charleroi-Ouest","50.409741","4.435644","Belgium"
"BEFCS","SmallStation","Ecaussinnes","50.5621","4.156094","Belgium"
"BEFCV","Station","Antwerpen-Berchem","51.198914","4.4332","Belgium"
"BEFCVGH","SmallStation","Groenenhoek-Wijkbundel","51.195308","4.436944","Belgium"
"BEFCZ","PassengerStop","Marche-lez-Ecaussinnes","50.545931","4.176558","Belgium"
"BEFD","Station","Deinze","50.97824","3.53494","Belgium"
"BEFDD","Station","Denderleeuw","50.891925","4.071828","Belgium"
"BEFDEL","PassengerStop","Delta | Delta","50.819281","4.403972","Belgium"
"BEFDF","PassengerStop","Duffel","51.091633","4.492194","Belgium"
"BEFDG","PassengerStop","Diegem","50.890481","4.441931","Belgium"
"BEFDI","PassengerStop","Godarville","50.4928","4.290314","Belgium"
"BEFDK","Station","De Panne","51.077288","2.602397","Belgium"
"BEFDKDS","Switch","De Panne-Doodspoor","51.076601","2.576086","Belgium"
"BEFDM","PassengerStop","Oudegem","51.014903","4.062361","Belgium"
"BEFDN","Station","Oudenaarde","50.850558","3.600803","Belgium"
"BEFDO","PassengerStop","Drongen","51.0474","3.653483","Belgium"
"BEFDR","Station","Dendermonde","51.022775","4.101431","Belgium"
"BEFDT","Station","Diest","50.993342","5.050025","Belgium"
"BEFDWS","SmallStation","Deinze-Wijksporen","50.97924","3.54056","Belgium"
"BEFEB","PassengerStop","Bellem","51.083908","3.487367","Belgium"
"BEFED","PassengerStop","Schendelbeke","50.797818","3.899159","Belgium"
"BEFEI","PassengerStop","Eine","50.871008","3.623697","Belgium"
"BEFEK","PassengerStop","Lebbeke","51.004606","4.134544","Belgium"
"BEFEM","PassengerStop","Veltem","50.900519","4.633522","Belgium"
"BEFEO","SmallStation","Ronet","50.457735","4.828415","Belgium"
"BEFEOCL","TrainTechnicalServices","Ronet-C.L.I.","50.454351","4.831716","Belgium"
"BEFEOF","Station","Ronet-Formation","50.454759","4.822342","Belgium"
"BEFEOGR","Switch","Ronet-Gril R","50.45896","4.830374","Belgium"
"BEFEOPE","TrainTechnicalServices","Ronet-P.E.","50.452732","4.823652","Belgium"
"BEFEQ","SmallStation","Clabecq","50.694783","4.213796","Belgium"
"BEFEQM","SmallStation","Clabecq-Marchandises","50.676242","4.221411","Belgium"
"BEFES","Station","Essen","51.462736","4.451106","Belgium"
"BEFET","PassengerStop","Herent","50.903528","4.672189","Belgium"
"BEFEV","PassengerStop","Mévergnies-Attre","50.600333","3.833003","Belgium"
"BEFFA","PassengerStop","Maffle","50.614031","3.800459","Belgium"
"BEFFC","PassengerStop","Farciennes","50.429148","4.55265","Belgium"
"BEFFM","PassengerStop","Familleureux","50.519364","4.211575","Belgium"
"BEFFV","PassengerStop","Neufvilles","50.543597","4.010669","Belgium"
"BEFFVG","SmallStation","Neufvilles-Garage","50.546079","4.01532","Belgium"
"BEFFW","SmallStation","Flawinne","50.456244","4.8063","Belgium"
"BEFGA","SmallStation","Gavere-Asper","50.930558","3.638958","Belgium"
"BEFGB","Switch","Jabbeke","51.200168","3.093295","Belgium"
"BEFGDM","Station","Gent-Dampoort","51.05665","3.740491","Belgium"
"BEFGE","PassengerStop","Balegem-Zuid","50.900803","3.805767","Belgium"
"BEFGED","PassengerStop","Balegem-Dorp","50.919953","3.7907","Belgium"
"BEFGH","Station","Saint-Ghislain","50.442625","3.820092","Belgium"
"BEFGM","PassengerStop","Galmaarden","50.743998","3.964938","Belgium"
"BEFGN","PassengerStop","Buggenhout","51.016228","4.200575","Belgium"
"BEFGND","Station","Gent-Noord","51.162726","3.819722","Belgium"
"BEFGO","PassengerStop","Sint-Genesius-Rode","50.748081","4.361492","Belgium"
"BEFGP","PassengerStop","Gouy-lez-Piéton","50.4957","4.325064","Belgium"
"BEFGRA","Station","Geraardsbergen","50.771025","3.871956","Belgium"
"BEFGRD","Station","Gent-Rodenhuize","51.116757","3.770203","Belgium"
"BEFGRDD","SmallStation","Gent-Rodenhuizedok","51.139159","3.784928","Belgium"
"BEFGS","SmallStation","Ghislenghien","50.658019","3.857336","Belgium"
"BEFGSP","Station","Gent-Sint-Pieters","51.035763","3.710232","Belgium"
"BEFGSPB","SmallStation","Gent-Sint-Pieters-Bundel B","51.040893","3.685177","Belgium"
"BEFGSPC","SmallStation","Gent-Sint-Pieters-Bundels","51.036773","3.704646","Belgium"
