"id","extralabel","name","latitude","longitude","country"
"DEAAH A","Station","Aumühle Abzw","53.529971","10.319278","Germany"
"DEAAS O","Station","Hamburg-Ottensen                (S-Bahn)","53.559558","9.926052","Germany"
"DEABG S","Station","Hamburg-Bergedorf               (S-Bahn)","53.489888","10.206188","Germany"
"DEABTSB","Station","Hamburg Berliner Tor         (Bergedorf)","53.552456","10.02495","Germany"
"DEABTSL","Station","Hamburg Berliner Tor          (Landwehr)","53.553002","10.024563","Germany"
"DEAE  N","Station","Hamburg-Eidelstedt (En)","53.620749","9.857578","Germany"
"DEAE  O","Station","Hamburg-Eidelstedt (Eo)","53.608197","9.882638","Germany"
"DEAHBIA","Station","Hamburg-Billwerder-Moorfleet      (Abzw)","53.514748","10.097992","Germany"
"DEAHBRS","Switch","Hamburg-Hausbruch               (S-Bahn)","53.47161","9.919747","Germany"
"DEALD A","Station","Lübeck-Dänischburg IKEA Abzw","53.911512","10.738975","Germany"
"DEALD G","Station","Lübeck-Dänischburg Gbf","53.911639","10.747857","Germany"
"DEASBRN","PassengerStop","Schleibrücke Nord","54.584626","9.818855","Germany"
"DEASBRS","PassengerStop","Schleibrücke Süd","54.58196","9.82142","Germany"
"DEAWLBA","Station","Hamburg-Wilhelmsburg Abzw","53.502305","10.007331","Germany"
"DEBAG O","Junction","Glasower Damm Ost","52.352903","13.420591","Germany"
"DEBAG S","Junction","Glasower Damm Süd","52.341383","13.414595","Germany"
"DEBAG W","Junction","Glasower Damm West","52.349296","13.405065","Germany"
"DEBATSO","Station","Attilastr Oilt (Bft)","52.435567","13.368071","Germany"
"DEBBIKL","Junction","Biesdorfer Kreuz Süd-Ost","52.515312","13.542414","Germany"
"DEBBIKM","Junction","Biesdorfer Kreuz Mitte","52.510227","13.539516","Germany"
"DEBBIKO","Junction","Biesdorfer Kreuz Ost","52.513157","13.553246","Germany"
"DEBBIKS","Junction","Biesdorfer Kreuz Süd","52.49903","13.543091","Germany"
"DEBBIKV","Junction","Biesdorfer Kreuz Süd-West","52.508458","13.538101","Germany"
"DEBBIKW","Junction","Biesdorfer Kreuz West","52.514482","13.519323","Germany"
"DEBFSTT","PassengerStop","Berlin Friedrichstraße (Nord-Süd-Tunnel)","52.52055","13.386321","Germany"
"DEBGD R","Station","Berlin-Grunewald Gdr","52.489391","13.264113","Germany"
"DEBGD S","Station","Berlin-Grunewald Gds","52.483059","13.254956","Germany"
"DEBGH M","Station","Genshagener Heide Mitte","52.332277","13.269976","Germany"
"DEBGH N","Station","Genshagener Heide Nord","52.338239","13.255465","Germany"
"DEBGK N","Junction","Grünauer Kreuz Nord","52.426416","13.561834","Germany"
"DEBGK S","Junction","Grünauer Kreuz Süd","52.416335","13.554854","Germany"
"DEBGK W","Junction","Grünauer Kreuz West","52.425838","13.554552","Germany"
"DEBGSBS","Station","Großbeeren Süd","52.347143","13.283144","Germany"
"DEBHLRN","Station","Berlin-Halensee Nordkopf","52.505839","13.282299","Germany"
"DEBHLRS","Station","Berlin-Halensee Südkopf","52.493353","13.293679","Germany"
"DEBOSGA","Station","Berlin Warschauer Straße (F-Bahn) Bft","52.504874","13.457906","Germany"
"DEBPAFS","Station","Berlin Südkreuz Süd Abzw","52.466491","13.361592","Germany"
"DEBSE B","Station","Seddin Bla","52.281557","12.965966","Germany"
"DEBSE N","Station","Seddin Einf Nord","52.303082","13.007198","Germany"
"DEBSE W","Station","Seddin Ausf West","52.287058","12.976138","Germany"
"DEBSN E","Station","Senftenberg B 10","51.542048","14.033061","Germany"
"DEBSPDM","Station","Berlin-Spandau Mitte","52.530988","13.216113","Germany"
"DEBSPDO","Station","Berlin-Spandau Ost","52.529617","13.22738","Germany"
"DEBSTAB","PassengerStop","Berlin-Staaken Bstg","52.537705","13.141195","Germany"
"DEBWKRR","PassengerStop","Berlin Westkreuz (Ringbahn)","52.500783","13.283965","Germany"
"DEBWURO","Station","Wustermark Rbf Wot","52.545509","13.031267","Germany"
"DEDAF N","Station","Arnsdorf Nord","51.10171","13.972525","Germany"
