"id","extralabel","name","latitude","longitude","country"
"DK00001","Station","København H","55.6727","12.5657","Denmark"
"DK00005","PassengerStop","Valby","55.6637","12.5145","Denmark"
"DK00006","Junction","Hvidovre Fjern","55.6646","12.4609","Denmark"
"DK00008","Station","Glostrup","55.6629","12.399","Denmark"
"DK00010","Station","Høje Taastrup","55.6485","12.2698","Denmark"
"DK00014","PassengerStop","Hedehusene","55.6486","12.1971","Denmark"
"DK00015","PassengerStop","Trekroner","55.6478","12.1325","Denmark"
"DK00016","FreightTerminal","Høje Taastrup kombiterminal","55.6393","12.2503","Denmark"
"DK00017","Station","Roskilde","55.6391","12.089","Denmark"
"DK00019","Station","Viby Sjælland","55.5497","12.0244","Denmark"
"DK00021","Station","Borup","55.4947","11.9723","Denmark"
"DK00023","Junction","Kværkeby","55.4512","11.8993","Denmark"
"DK00025","Station","Ringsted","55.4382","11.7866","Denmark"
"DK00027","Junction","Fjenneslev","55.4421","11.6692","Denmark"
"DK00029","Station","Sorø","55.4191","11.5693","Denmark"
"DK00031","Station","Slagelse","55.4074","11.3489","Denmark"
"DK00033","Junction","Forlev","55.3749","11.2578","Denmark"
"DK00035","Station","Korsør","55.3571","11.1352","Denmark"
"DK00037","Junction","Sprogø","55.3311","10.9601","Denmark"
"DK00039","Station","Nyborg","55.3138","10.8031","Denmark"
"DK00943","Junction","Avedøre Havnevej","55.648","12.45","Denmark"
"DK00931","Junction","Kildebrønde","55.6023","12.2855","Denmark"
"DK00933","Junction","Jersie Fjern","55.5216","12.186","Denmark"
"DK00935","Station","Køge Nord","55.5","12.1725","Denmark"
"DK00937","Junction","Lellinge","55.4805","12.124","Denmark"
"DK00939","Junction","Bjæverskov","55.4637","12.0265","Denmark"
"DK00949","PassengerStop","Glumsø","55.3513","11.6973","Denmark"
"DK00043","Station","Næstved","55.2313","11.7673","Denmark"
"DK00045","Station","Lundby","55.1096","11.8703","Denmark"
"DK00047","Station","Vordingborg","55.0127","11.9","Denmark"
"DK00049","Junction","Masnedø","54.9824","11.8945","Denmark"
"DK00051","Junction","Orehoved","54.939","11.8681","Denmark"
"DK00053","PassengerStop","Nørre Alslev","54.8967","11.8857","Denmark"
"DK00055","Station","Eskilstrup","54.8562","11.8854","Denmark"
"DK00057","Junction","Tingsted","54.8196","11.8855","Denmark"
"DK00059","Station","Nykøbing Falster","54.767","11.8777","Denmark"
"DK00061","Junction","Nykøbing Falster Vest","54.7565","11.8571","Denmark"
"DK00069","Junction","Rødby Øst","54.6657","11.3807","Denmark"
"DK00071","Station","Rødby Færge","54.6551","11.3556","Denmark"
"DK00073","Junction","Væggerløse","54.7165","11.9143","Denmark"
"DK00075","Junction","Fiskebæk","54.6433","11.9026","Denmark"
"DK00077","Station","Gedser","54.5791","11.9253","Denmark"
"DK00079","Station","Gadstrup","55.5729","12.0996","Denmark"
"DK00081","Station","Havdrup","55.5436","12.1172","Denmark"
"DK00083","Station","Lille Skensved","55.5115","12.1405","Denmark"
"DK00085","PassengerStop","Ølby","55.4806","12.1748","Denmark"
"DK00086","Station","Køge","55.4573","12.1869","Denmark"
"DK00089","Station","Herfølge","55.4177","12.1371","Denmark"
"DK00091","Station","Tureby","55.3733","12.076","Denmark"
"DK00093","Station","Haslev","55.3295","11.961","Denmark"
"DK00095","Station","Holme-Olstrup","55.2611","11.8487","Denmark"
"DK00097","PassengerStop","Næstved Nord","55.2482","11.7867","Denmark"
"DK00099","Station","Lejre","55.6045","11.9712","Denmark"
"DK00101","Station","Hvalsø","55.5953","11.8598","Denmark"
"DK00103","Station","Tølløse","55.612","11.7731","Denmark"
"DK00105","Station","Vipperød","55.6669","11.7388","Denmark"
"DK00107","Station","Holbæk","55.7156","11.7082","Denmark"
"DK00109","Station","Regstrup","55.6776","11.6127","Denmark"
"DK00111","PassengerStop","Knabstrup","55.6648","11.5533","Denmark"
"DK00112","Station","Mørkøv","55.6545","11.5018","Denmark"
"DK00114","Station","Jyderup","55.6603","11.3979","Denmark"
"DK00116","Station","Svebølle","55.6521","11.2925","Denmark"
"DK00118","Junction","Værslev","55.6699","11.2074","Denmark"
"DK00930","PassengerStop","Kalundborg Øst","55.676","11.124","Denmark"
"DK00120","Station","Kalundborg","55.6777","11.0893","Denmark"
"DK00122","Junction","København G","55.6533","12.535","Denmark"
"DK00124","Junction","Vigerslev","55.6616","12.494","Denmark"
"DK00127","PassengerStop","Ny Ellebjerg","55.653","12.515","Denmark"
"DK00129","Junction","Svanemøllen","55.717","12.5705","Denmark"
"DK00132","Junction","Østerport","55.6999","12.5923","Denmark"
"DK00137","Station","Fredensborg","55.9771","12.4069","Denmark"
"DK00139","PassengerStop","Langerød","55.9813","12.4522","Denmark"
"DK00140","PassengerStop","Kvistgård","55.9905","12.5026","Denmark"
"DK00141","PassengerStop","Mørdrup","56.002","12.5321","Denmark"
"DK00142","Station","København H","55.6727","12.5657","Denmark"
"DK00144","Station","Østerport","55.6937","12.5899","Denmark"
"DK00147","Junction","Helgoland","55.7121","12.587","Denmark"
"DK00149","PassengerStop","Nørreport","55.6837","12.5726","Denmark"
"DK00150","Station","Hellerup","55.7311","12.5673","Denmark"
"DK00153","Station","Klampenborg","55.7767","12.5888","Denmark"
"DK00155","Station","Skodsborg","55.8235","12.5717","Denmark"
"DK00157","PassengerStop","Vedbæk","55.8527","12.5625","Denmark"
"DK00158","Station","Rungsted Kyst","55.8823","12.5317","Denmark"
"DK00160","PassengerStop","Kokkedal","55.9036","12.5023","Denmark"
"DK00161","Station","Nivå","55.9334","12.5064","Denmark"
"DK00163","PassengerStop","Humlebæk","55.9635","12.5328","Denmark"
"DK00164","PassengerStop","Espergærde","55.9959","12.5498","Denmark"
"DK00165","Station","Snekkersten","56.0094","12.5839","Denmark"
"DK00167","Station","Helsingør","56.0333","12.6141","Denmark"
"DK00169","Junction","Bavnehøj","55.6573","12.5394","Denmark"
"DK00171","Junction","Kalvebod","55.64","12.5498","Denmark"
"DK00173","PassengerStop","Ørestad","55.6284","12.5792","Denmark"
"DK00174","PassengerStop","Tårnby","55.6297","12.6018","Denmark"
"DK00175","Station","Københavns Lufthavn Kastrup","55.6296","12.6522","Denmark"
"EU00141","BorderPoint","Peberholm grænse","55.605923","12.738071","Denmark"
"DK00181","Station","Fruens Bøge","55.3697","10.3775","Denmark"
"DK00183","PassengerStop","Hjallese","55.3582","10.3927","Denmark"
"DK00184","Station","Højby","55.3302","10.434","Denmark"
"DK00186","Station","Årslev","55.3013","10.466","Denmark"
"DK00188","PassengerStop","Pederstrup","55.2838","10.486","Denmark"
"DK00189","Station","Ringe","55.2395","10.4818","Denmark"
"DK00191","PassengerStop","Rudme","55.1983","10.4875","Denmark"
"DK00192","Station","Kværndrup","55.1781","10.5188","Denmark"
"DK00194","Station","Stenstrup","55.1322","10.509","Denmark"
"DK00196","PassengerStop","Stenstrup Syd","55.1201","10.5152","Denmark"
"DK00197","PassengerStop","Svendborg Vest","55.0559","10.5819","Denmark"
"DK00198","Station","Svendborg","55.0589","10.612","Denmark"
"DK00200","Junction","Hjulby","55.3378","10.7366","Denmark"
"DK00202","Junction","Ullerslev","55.3544","10.6655","Denmark"
"DK00204","PassengerStop","Langeskov","55.3617","10.5869","Denmark"
"DK00205","Junction","Marslev","55.3785","10.5238","Denmark"
"DK00207","Station","Odense","55.4025","10.3853","Denmark"
"DK00209","Station","Holmstrup","55.3624","10.273","Denmark"
"DK00211","Station","Tommerup","55.3496","10.1825","Denmark"
"DK00213","PassengerStop","Skalbjerg","55.3661","10.1412","Denmark"
"DK00214","PassengerStop","Bred","55.3734","10.1056","Denmark"
"DK00215","Station","Aarup","55.383","10.0511","Denmark"
"DK00217","PassengerStop","Gelsted","55.3965","9.9741","Denmark"
"DK00218","Station","Ejby","55.4287","9.9299","Denmark"
"DK00220","PassengerStop","Nørre Aaby","55.4603","9.8704","Denmark"
"DK00221","Station","Kavslunde","55.476","9.8105","Denmark"
"DK00223","Station","Middelfart","55.5017","9.7344","Denmark"
"DK00225","Junction","Snoghøj","55.5368","9.7082","Denmark"
"DK00227","Station","Fredericia","55.5683","9.7402","Denmark"
"DK00229","Junction","Fredericia godsstation","55.5625","9.7427","Denmark"
"DK00231","Station","Børkop","55.6421","9.652","Denmark"
"DK00233","PassengerStop","Brejning","55.6669","9.6595","Denmark"
"DK00234","Station","Vejle","55.7067","9.5368","Denmark"
"DK00236","Station","Hedensted","55.7677","9.6988","Denmark"
"DK00238","Station","Horsens","55.8623","9.8358","Denmark"
"DK00240","Junction","Hovedgård","55.9459","9.9629","Denmark"
"DK00242","Station","Skanderborg","56.0435","9.9249","Denmark"
"DK00244","Station","Hørning","56.0821","10.0378","Denmark"
"DK00246","PassengerStop","Viby Jylland","56.1219","10.1595","Denmark"
"DK00247","Station","Aarhus H","56.1501","10.2048","Denmark"
"DK00249","Junction","Brabrand","56.1543","10.1043","Denmark"
"DK00251","Junction","Mundelstrup","56.1926","10.0835","Denmark"
"DK00253","Station","Hinnerup","56.2632","10.0596","Denmark"
"DK00255","Station","Hadsten","56.3268","10.0485","Denmark"
"DK00257","Station","Langå","56.3869","9.8966","Denmark"
"DK00259","Junction","Stevnstrup","56.433","9.9573","Denmark"
"DK00261","Station","Randers","56.4617","10.022","Denmark"
"DK00263","Junction","Fårup","56.5464","9.8453","Denmark"
"DK00265","Station","Hobro","56.6433","9.7826","Denmark"
"DK00267","PassengerStop","Arden","56.769","9.8598","Denmark"
"DK00268","Station","Skørping","56.8358","9.8873","Denmark"
"DK00270","PassengerStop","Støvring","56.8924","9.8439","Denmark"
"DK00271","Junction","Ellidshøj","56.9293","9.8702","Denmark"
"DK00273","PassengerStop","Svenstrup Jylland","56.9724","9.8563","Denmark"
"DK00274","PassengerStop","Skalborg","57.0084","9.8988","Denmark"
"DK00275","Station","Aalborg","57.0429","9.9169","Denmark"
"DK00277","PassengerStop","Aalborg Vestby","57.0531","9.9085","Denmark"
"DK00280","Station","Lindholm","57.0648","9.9085","Denmark"
"DK00282","Junction","Sulsted","57.1676","9.9462","Denmark"
"DK00284","Station","Brønderslev","57.2702","9.9426","Denmark"
"DK00286","Station","Vrå","57.3547","9.9422","Denmark"
"DK00288","Station","Hjørring","57.4564","9.986","Denmark"
"DK00950","PassengerStop","Hjørring Øst","57.4548","10.0059","Denmark"
"DK00291","Station","Sindal","57.4702","10.2033","Denmark"
"DK00293","PassengerStop","Tolne","57.4858","10.3121","Denmark"
"DK00294","Station","Kvissel","57.472","10.4127","Denmark"
"DK00296","Station","Frederikshavn","57.4411","10.5404","Denmark"
"DK00298","Station","Taulov","55.545","9.6158","Denmark"
"DK00301","Station","Kolding","55.4906","9.4814","Denmark"
"DK00303","FreightTerminal","Taulov kombiterminal","55.5475","9.6403","Denmark"
"DK00304","Station","Lunderskov","55.48","9.3037","Denmark"
"DK00306","Station","Vamdrup","55.4281","9.2866","Denmark"
"DK00308","Junction","Farris","55.3855","9.2702","Denmark"
"DK00310","Junction","Sommersted","55.3139","9.2872","Denmark"
"DK00312","Station","Vojens","55.2484","9.3051","Denmark"
"DK00314","Station","Rødekro","55.0692","9.3328","Denmark"
"DK00316","Station","Tinglev","54.9363","9.2582","Denmark"
"DK00318","Junction","Vejbæk","54.8753","9.3069","Denmark"
"DK00320","Station","Padborg","54.8235","9.3592","Denmark"
"DK00323","FreightTerminal","Padborg kombiterminal","54.8353","9.3525","Denmark"
"DK00326","Station","Sønderborg","54.9145","9.7722","Denmark"
"DK00328","Station","Gråsten","54.9189","9.5941","Denmark"
"DK00330","PassengerStop","Kliplev","54.9351","9.3988","Denmark"
"DK00332","Station","Vejen","55.4758","9.1361","Denmark"
"DK00334","PassengerStop","Brørup","55.4828","9.017","Denmark"
"DK00335","Station","Holsted","55.4848","8.9142","Denmark"
"DK00337","PassengerStop","Gørding","55.4695","8.7999","Denmark"
"DK00338","Station","Bramming","55.4645","8.7067","Denmark"
"DK00340","Station","Tjæreborg","55.4665","8.5794","Denmark"
"DK00952","PassengerStop","Jerne","55.4745","8.4865","Denmark"
"DK00342","Station","Esbjerg","55.4672","8.4585","Denmark"
"DK00344","Junction","Esbjerg Havn","55.4637","8.4464","Denmark"
"DK00346","PassengerStop","Sejstrup","55.4352","8.7334","Denmark"
"DK00347","Station","Gredstedbro","55.3974","8.7412","Denmark"
"DK00349","PassengerStop","Ribe Nørremark","55.3399","8.7759","Denmark"
"DK00350","Station","Ribe","55.3276","8.7702","Denmark"
"DK00352","PassengerStop","Hviding","55.2745","8.7303","Denmark"
