"id","extralabel","name","latitude","longitude","country"
"ESB7901","Junction","BIF. AIGUES","41.4558","2.1916","Spain"
"ESB7943","Junction","BIF. SAGRERA-AG.KM. 108,0","41.42785","2.20166","Spain"
"ESB8000","Junction","BIF. KM.231,5","42.89143","-2.16887","Spain"
"ESB8100","Junction","BIF. CASTILLA","42.6818","-2.958","Spain"
"ESB8801","Junction","BIF. VILANOVA","41.3946","2.1845","Spain"
"ESB9521","Junction","BIF. REBOLLEDO","40.3569","-3.6736","Spain"
"ESB9701","Junction","BIF. P. PIO","40.5106","-3.8674","Spain"
"ESB9811","Junction","BIF. VICALVARO-MERCANCIAS","40.438","-3.5632","Spain"
"ESCT712","Station","CENTRAL TERMICA","41.18159","-0.37085","Spain"
"EU00119","BorderPoint","P.K. 641,181 (FRONTERA) LINEA 100","43.35065","-1.78589","Spain"
"EU00124","BorderPoint","P.K. 124,235 (FRONTERA)","40.6057","-6.826","Spain"
"EU00122","BorderPoint","P.K. 50,707(FRONT)","42.44716","1.91449","Spain"
"EU00120","BorderPoint","P.K.274,305(FRONTERA) LINEA 270","42.43494","3.1597","Spain"
"ESXX001","Junction","FASA RENAULT","41.92779","-4.49629","Spain"
"ESXX003","Junction","MERCABARNA","41.32508","2.1456","Spain"
"ESXX004","Junction","GENERAL MOTORS","41.74732","-1.18591","Spain"
"ESXX005","Junction","TALLERES","41.34622","2.13405","Spain"
"ESXX006","Junction","MUSEO DELICIAS","40.39827","-3.69105","Spain"
"ESXX008","Junction","SEVILLA-CTT","37.39955","-5.96519","Spain"
"ESXX009","Junction","ENSIDESA","43.53403","-5.72992","Spain"
"ESXX010","Junction","EL MUSEL","43.55995","-5.70242","Spain"
"ESXX011","Junction","CENTRAL LECHERA","43.38769","-5.78284","Spain"
"ESXX012","Junction","AGUJA KM 8,640","40.34607","-3.69213","Spain"
"ESXX013","Junction","BIF. ENSIDESA","43.54434","-5.72566","Spain"
"ESXX014","Junction","BIF. PARQUE DE CARBONES","43.55269","-5.72506","Spain"
"ESXX015","Junction","CANTERA LUGONES","43.40504","-5.84087","Spain"
"ES00002","Station","VALSEQUILLO","38.41332","-5.34852","Spain"
"ES00005","SmallStation","PEÑARROYA-PUEBLONUEVO","38.2919","-5.2745","Spain"
"ES00006","Station","C. DE K.(ANTIGUA BELMEZ)","38.26299","-5.20812","Spain"
"ES00007","PassengerStop","VILLANUEVA DEL REY (APD)","38.2294","-5.1222","Spain"
"ES00008","Station","ESPIEL","38.1766","-5.04685","Spain"
"ES00010","Station","ALHONDIGUILLA-VILLAVICIOSA","38.1196","-4.9499","Spain"
"ES00012","PassengerStop","EL PARRALEJO","38.1164","-4.9419","Spain"
"ES00013","Station","EL VACAR-VILLAHARTA","38.0768","-4.853","Spain"
"ES00014","Station","OBEJO","38.0258","-4.7895","Spain"
"ES00015","Station","CERRO MURIANO","38.002","-4.7694","Spain"
"ES00016","Station","BALANZONA","37.9737","-4.7589","Spain"
"ES00017","Station","LOS PRADILLOS","37.9192","-4.7676","Spain"
"ES00018","Station","MIRABUENO","37.9149","-4.7734","Spain"
"ES01001","SmallStation","EL SORBITO","37.2073","-5.7067","Spain"
"ES01003","SmallStation","ARAHAL","37.2681","-5.5484","Spain"
"ES01005","SmallStation","MARCHENA","37.3342","-5.4254","Spain"
