"id","extralabel","name","latitude","longitude","country"
"LULs   ","PassengerStop","Luxembourg-Sud","49.47268","6.07943","Luxembourg"
"LUSc   ","PassengerStop","Sandweiler-Contern","49.59899","6.212675","Luxembourg"
"LUSr2  ","Junction","Schieren Ligne 2","49.8294","6.0949","Luxembourg"
"LURT-R ","FreightTerminal","Réseau tertiaire - Rodange","5.832","49.551","Luxembourg"
"LURT-Bu","FreightTerminal","Réseau tertiaire - Site Belval","5.952","49.498","Luxembourg"
"LURT-D ","FreightTerminal","Réseau tertiaire - Site Differdange","5.8963","49.5347","Luxembourg"
"LUPf-K ","PassengerStop","Pfaffenthal-Kirchberg","49.619","6.133","Luxembourg"
"LUMe   ","Junction","Mecher","50.03511","6.01155","Luxembourg"
"EU00099","BorderPoint","Rodange frontière francaise","49.5433","5.8106","Luxembourg"
"LURt   ","PassengerStop","Roodt","49.6663","6.303","Luxembourg"
"LUSchb ","Junction","Scheuerbusch","49.5105","6.0311","Luxembourg"
"LUSg   ","PassengerStop","Schifflange","49.5063","6.0094","Luxembourg"
"LUSy   ","Station","Syren","49.5697","6.2208","Luxembourg"
"LUWf   ","PassengerStop","Walferdange","49.6619","6.1363","Luxembourg"
"LUWk   ","Station","Wecker","49.7","6.3863","Luxembourg"
"LUWw   ","Station","Wilwerwiltz","49.9883","6.0002","Luxembourg"
"LUMn   ","PassengerStop","Manternach","49.7063","6.4233","Luxembourg"
"LUMl   ","PassengerStop","Maulusmuhle","50.0941","6.0258","Luxembourg"
"EU00098","BorderPoint","Rodange frontière B A","49.5518","5.8106","Luxembourg"
"LUMk   ","PassengerStop","Merkholtz","49.9566","5.9816","Luxembourg"
"LUNz   ","Station","Noertzange","49.508","6.0508","Luxembourg"
"LUOk   ","PassengerStop","Oberkorn","49.51039","5.891326","Luxembourg"
"LUOe   ","Station","Oetrange","49.6025","6.258","Luxembourg"
"EU00102","BorderPoint","Bettembourg frontière","49.4720532","6.1078419","Luxembourg"
"LUBi   ","FreightTerminal","Bissen","49.7884","6.069314","Luxembourg"
"LUCp   ","PassengerStop","Capellen","49.6383","5.9822","Luxembourg"
"LUCs   ","PassengerStop","Cents-Hamm","49.61521","6.166666","Luxembourg"
"LUDm   ","Station","Dommeldange","49.6338","6.1363","Luxembourg"
"LUEs   ","Station","Esch-sur-Alzette","49.4938","5.9855","Luxembourg"
"LUF    ","TechnicalChange","Fentange","49.5655","6.1455","Luxembourg"
"LUGb   ","Station","Goebelsmuhle","49.9211","6.053","Luxembourg"
"LUBt-M ","FreightTerminal","Bettembourg-Marchandises","49.4938","6.1088","Luxembourg"
"LUBt-V ","Station","Bettembourg-Voyageurs","49.5161","6.1011","Luxembourg"
"LUR    ","Station","Rodange (secteur)","49.551","5.8433","Luxembourg"
"LUBb   ","Junction","Brucherberg","49.50095","6.038632","Luxembourg"
"LUCv   ","Station","Clervaux","50.0613","6.0247","Luxembourg"
"LUDr   ","Station","Dippach-Reckange","49.5725","5.9951","Luxembourg"
"LUDb   ","PassengerStop","Dudelange-Burange","49.4925","6.0862","Luxembourg"
"LUEb   ","Station","Ettelbruck","49.8472","6.1066","Luxembourg"
"LUF-S6 ","PassengerStop","Fentange Sud (ligne 6)","49.5585","6.1445","Luxembourg"
"LUHd   ","PassengerStop","Heisdorf","49.6752","6.1391","Luxembourg"
"LUL    ","Station","Luxembourg","49.5997","6.1347","Luxembourg"
"LULh   ","Station","Luxembourg secteur Hollerich","49.59562","6.120597","Luxembourg"
"LUM    ","Station","Mersch","49.7516","6.1102","Luxembourg"
"LUMt   ","PassengerStop","Mertert","49.70311","6.479957","Luxembourg"
"LUMc   ","PassengerStop","Michelau","49.8966","6.0919","Luxembourg"
"LUBd   ","Junction","Burden","49.8764","6.1054","Luxembourg"
"LUCu   ","FreightTerminal","Colmar-Usines","49.8078","6.0926","Luxembourg"
