"id","extralabel","name","latitude","longitude","country"
"SECst","Station","Stockholms central","59.33","18.0573","Sweden"
"SEG","Station","Göteborg Central","57.7089","11.9739","Sweden"
"SEHbgb","ShuntingYard","Helsingborgs godsbangård","56.0271","12.7219","Sweden"
"SEHrbg","ShuntingYard","Hallsbergs rangerbangård","59.0587","15.0593","Sweden"
"SEJögb","ShuntingYard","Jönköpings godsbangård","57.7641","14.1732","Sweden"
"SEMgb","ShuntingYard","Malmö godsbangård","55.622","13.051","Sweden"
"SESär","ShuntingYard","Sävenäs rangerbangård","57.7301","12.0462","Sweden"
"SETm","ShuntingYard","Tomteboda bangård","59.3457","18.0203","Sweden"
"SEVåv","ShuntingYard","Västerås västra","59.5956","16.5077","Sweden"
"SEÅggb","ShuntingYard","Ånge godsbangård","62.5254","15.6428","Sweden"
"SEA","SmallStation","Alingsås","57.9269","12.5322","Sweden"
"SEAal","Junction","Annedal","56.1276","12.9296","Sweden"
"SEAb","SmallStation","Arbrå","61.471","16.3798","Sweden"
"SEAgb","Junction","Agnesberg","57.7811","12.0071","Sweden"
"SEAgg","Junction","Algutsgården","57.9881","12.6519","Sweden"
"SEAhm","Junction","Aleholm","57.3982","14.6635","Sweden"
"SEAjr","SmallStation","Arvidsjaur","65.5887","19.1685","Sweden"
"SEAk","SmallStation","Abisko östra","68.3486","18.8303","Sweden"
"SEAl","Junction","Arlöv","55.6339","13.0684","Sweden"
"SEAlh","SmallStation","Alvhem","58.0108","12.1577","Sweden"
"SEAlä","Junction","Almnäs","59.1694","17.5078","Sweden"
"SEAm","Junction","Almedal","57.684","12.004","Sweden"
"SEAmk","Junction","Arnemark","65.4913","21.2179","Sweden"
"SEAn","Junction","Arvån","64.5584","19.003","Sweden"
"SEAnö","Junction","Anundsjö","63.4266","18.1438","Sweden"
"SEAp","Junction","Aspeå","63.3877","17.5136","Sweden"
"SEApd","Junction","Aplared","57.6512","13.0744","Sweden"
"SEApt","Junction","Aptas","67.7641","20.4434","Sweden"
"SEAr","SmallStation","Arvika","59.6536","12.5908","Sweden"
"SEAra","Junction","Arnäsvall","63.308","18.7859","Sweden"
"SEArb","SmallStation","Arboga","59.3972","15.8405","Sweden"
"SEArnc","SmallStation","Arlanda central","59.6491","17.9285","Sweden"
"SEArne","Junction","Arlanda nedre","59.6327","17.9231","Sweden"
"SEArnn","SmallStation","Arlanda norra","59.6515","17.9298","Sweden"
"SEArns","SmallStation","Arlanda södra","59.6468","17.9283","Sweden"
"SEAtp","Junction","Attarp","56.1372","13.8487","Sweden"
"SEAv","SmallStation","Alvesta","56.898","14.5562","Sweden"
"SEAva","SmallStation","Avaviken","65.6051","18.6509","Sweden"
"SEAvky","SmallStation","Avesta Krylbo","60.1295","16.2161","Sweden"
"SEAx","Junction","Axmarby","61.0074","17.1136","Sweden"
"SEAy","Junction","Alby","62.4901","15.4747","Sweden"
"SEAä","Junction","Alväng","59.379","15.566","Sweden"
"SEB","Junction","Björnlunda","59.0656","17.1547","Sweden"
"SEBaa","SmallStation","Barkåkra","56.2937","12.8246","Sweden"
"SEBaö","Junction","Backsjön","63.3247","17.2995","Sweden"
"SEBbe","Junction","Blyberg","61.1533","14.1378","Sweden"
"SEBdn","SmallStation","Boden central","65.8288","21.7081","Sweden"
"SEBdo","Junction","Broddbo","59.9869","16.4819","Sweden"
"SEBds","Junction","Bodens södra","65.8255","21.6474","Sweden"
"SEBe","Junction","Backe","63.8073","16.4269","Sweden"
"SEBen","Junction","Bredviken","65.8374","23.2332","Sweden"
"SEBet","Junction","Bruksberget","66.0036","22.7136","Sweden"
"SEBf","SmallStation","Brunflo","63.076","14.8326","Sweden"
"SEBfo","SmallStation","Billingsfors","58.982","12.2497","Sweden"
"SEBfs","Junction","Bergfors","68.1473","19.7827","Sweden"
"SEBg","SmallStation","Berga","57.2165","16.0334","Sweden"
"SEBgs","Junction","Bryngenäs","57.8978","12.4876","Sweden"
"SEBgv","Junction","Bälgviken","59.2527","16.4606","Sweden"
"SEBhb","SmallStation","Bräkne-Hoby","56.2314","15.1161","Sweden"
"SEBhs","SmallStation","Bohus","57.864","12.0196","Sweden"
